time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/explained_variance,train/value_loss,train/loss,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/learning_rate,train/entropy_loss,train/clip_range
14589,13271040,108,450.0,1145.6683,909,0.7437882423400879,0.11773345039652972,0.012088432908058167,0.11850341796875,-0.0021863978772853443,4330,0.020394683,0.0003,-2.3224015577634174,0.2
14723,13393920,109,450.0,1217.1428,909,0.7305909097194672,0.12851165122813352,0.037829652428627014,0.11444498697916666,-0.001523249129368196,4340,0.015777986,0.0003,-2.302201273267468,0.2
14857,13516800,110,450.0,1152.6632,909,0.7703508585691452,0.12540756956732366,0.14135292172431946,0.11836588541666666,-0.002181003534321159,4350,0.01772275,0.0003,-2.313211104782919,0.2
14992,13639680,111,447.7,1145.2316,909,0.7419194281101227,0.12155572968054912,0.053772926330566406,0.1109375,-0.0012034623279456962,4360,0.014271901,0.0003,-2.3429111165304977,0.2
15127,13762560,112,450.0,1217.0507,909,0.8191522657871246,0.11682368046589545,0.05946613475680351,0.12081461588541667,-0.0018042842092897142,4370,0.018235212,0.0003,-2.345114385969937,0.2
15263,13885440,113,450.0,1257.668,909,0.7758831530809402,0.11333097395084527,0.041840508580207825,0.11027425130208333,-0.0013553418415782896,4380,0.016760392,0.0003,-2.32693270675838,0.2
15398,14008320,114,450.0,1191.0203,909,0.74931201338768,0.13716075036121766,0.019339635968208313,0.10976806640625,-0.0013791069875696848,4390,0.013293925,0.0003,-2.331869139994184,0.2
15532,14131200,115,446.74,1203.4622,909,0.7586314380168915,0.13037572384346277,0.00773816742002964,0.1079443359375,-0.0012530884955291792,4400,0.012592536,0.0003,-2.340659990645945,0.2
15667,14254080,116,450.0,1194.1355,909,0.7775785177946091,0.1369988752704618,0.041557759046554565,0.10723470052083334,-0.0005944870960350575,4410,0.01212886,0.0003,-2.2917927396049103,0.2
15801,14376960,117,450.0,1269.8756,909,0.7645354121923447,0.1298258925753665,0.06299243867397308,0.10999593098958334,-0.0011754421552480684,4420,0.012874088,0.0003,-2.306043634613355,0.2
15964,14499840,118,450.0,1301.8773,908,0.7960814833641052,0.13760995851567714,0.013066437095403671,0.11383707682291666,-0.0010649658118381921,4430,0.014312816,0.0003,-2.2251919193565843,0.2
16104,14622720,119,450.0,1173.652,907,0.7990586906671524,0.14394008566892202,0.04838469997048378,0.11875081380208333,-0.0007387397760188226,4440,0.020161869,0.0003,-2.2130716076306998,0.2
16240,14745600,120,450.0,1151.1957,907,0.7805930078029633,0.1201938246654754,0.030349163338541985,0.1242041015625,0.0036001369951312273,4450,0.06847576,0.0003,-2.254309495675067,0.2
16374,14868480,121,450.0,1145.7496,908,0.7382002174854279,0.12713269983966408,0.15435096621513367,0.11840657552083333,-0.00010573048197329627,4460,0.014985448,0.0003,-2.2642464706425867,0.2
16509,14991360,122,450.0,1091.3947,908,0.801185205578804,0.11608538112326641,0.06386859714984894,0.10675618489583333,-0.0016382667366087844,4470,0.014939682,0.0003,-2.3098368269080916,0.2
16643,15114240,123,450.0,1209.0377,908,0.702504575252533,0.11941818495019106,0.06501306593418121,0.11223388671875,-0.0011087127405365511,4480,0.015004719,0.0003,-2.2624528051912787,0.2
16777,15237120,124,437.58,1105.2026,908,0.7542616575956345,0.12391829194083888,0.07820087671279907,0.11489339192708334,-0.001246113637862436,4490,0.014390455,0.0003,-2.2269182981488607,0.2
16910,15360000,125,436.34,1183.1238,908,0.7723249793052673,0.1291484711857144,0.23587045073509216,0.117265625,-0.001529054788989015,4500,0.021538688,0.0003,-2.234853211188068,0.2
17044,15482880,126,450.0,1184.0278,908,0.8059604912996292,0.10817707174668613,0.032573796808719635,0.10574625651041666,-0.0014215955147665227,4510,0.01483378,0.0003,-2.2862690453541776,0.2
